Syllable/Combination,汉字
meu1A|55,踎痞哞
neu1B|21,㖻羺㝹䨲
neu2A|35,㚼靵钮鈕纽紐狃㱙妞忸扭朽杻
neu2B|13,㜌莥炄㳶㺲䏔啂
neu3B|22,𧂭鎒鐞譳腬腻膩耨糅獳䅶䋴槈檽
neu1A|55,嬲
leu1B|21,㐬㖻𩗩𥜆𨻧鹠麍鰡鶹飀飂飅飗餾馏駠駵騮驑骝髅髏鞻鎏鎦鏐鐂镏镠蹓軁遛遱謱蝼螻蟉裗蒌蒥蓅蔞藰膢艛羺耧耬窭窶瞜硫磂琉瑠瑬璢畄留畱疁瘤癅熘熡溇溜漊漻瀏㝹㡞㥪㳅㺏㽞䁖䅹䉧䖻䗜䚧䝀䝏䣚䨲䫫䬟䮫䰘䱖䱾䶉偻僂刘剅劉喽嘍嚠塿娄婁媹寠嵧廔慺懰搂摎摟斿旈旒楼榴樓橊流浏
leu3B|22,㔷㙀㙧𧂭鹨𢄪鬸鷚飂餾馏陋雡霤露鎒鎦鏤鐂鐞镂镏蹓遛譳腬腻膩翏耨糅瘘瘺瘻熘獳溜漏澑㶯㽌䄂䅶䋴塯屚廇槈檽
leu2A|35,㚼靵钮鈕纽缕紐縷瘤狃漏㱙刘劉妞忸扭搂摟朽杻楼榴樓流
leu2B|13,㜌锍鋶褛褸蒌蔞莥绺缕罶羀簍綹縷篓甊熮珋炄㟺㧕㪹㳶㺲䏔啂塿嬼嵝嶁搂摟柳栁桞桺橮
leu1A|55,騮骝褛褸蒌蔞瞜留溜㺏䁖䝏喽嘍嬲搂摟
heu2A|35,㔚㖃𤘘㠬候劶口后吽喉後搝
heu1B|21,㗋𡘓𤠣鯸餱骺銗鍭葔翭翵糇篌睺矦瘊猴㢿㤧㬋㮢㺅䂉䗔䙈䫛侯喉垢帿
heu1A|55,齁芤睺䳧候吼吽呴
heu3B|22,鮜鱟鲎鲘鄇銗逅郈茩缿矦㸸㻈䞀䞧侯候后垕堠後洉
heu3A|33,犼吼吽呴
heu2B|13,㫗㴟㷞厚垕
keu3A|33,㓂𦸅鷇铐釦銬豞購购蔲蔻臼舅窛筘簆瞉滱㺉䍍䓻䪷䳹佝冓冦叩媾宼寇怐扣搆敂构桕構
keu1B|21,㕤㛏𥟇𨫣鼽鯄頄頯釚銶逑賕赇觓觩訄訅蛷裘虬虯艽芁莍紌絿皳盚球璆犰玌㞗㟈㤹㧨㭝㺫䊵䜪䟵䣇䤛仇俅厹叴巯巰扏捄朹梂殏毬求浗
keu1A|55,𦬅鸠龜龟鳩鞲袧褠芤篝眍瞘牞溝㡚㳰㸨㽛䁱䑦䡂䬲冓剾彄抠摳沟
keu2B|13,麔齨臼舅䊆䛮䳎桕欍
keu2A|35,舅扣
feu1B|21,㐢𦹃𦷰鴀鉜蜉裒艀芣罘罦紑琈烰㟊䍖䨗䳕哹桴浮涪
feu3B|22,𨸏阜蛗㰴㷆䘀埠复峊復
feu2A|35,𧶏𠳝鴀雬缶缹缻炰不剖否埠妚殕
ngeu2B|13,㒖蕅藕腢耦㼴偶吘
ngeu1A|55,𠥹𡂿鸥鴎鷗鏂钩鈎鉤軪謳讴蚼藲膒瓯甌熰漚䉩䉱䌔䙔䥲䫜䳼勾区區句呕嘔怄慪柪梎櫙欧歐殴毆沤
ngeu2A|35,𠙶藕牛呕嘔塸欧歐殴毆
ngeu1B|21,牛䋅䒜吽呍汼
ngeu3A|33,漚呕嘔岰怄慪握沤
ngeu3B|22,吽
peu1B|21,裒箁㧵䯽垺抔抙捊掊
peu2A|35,瓿䍌䳝剖培掊
peu1A|55,娝
peu3A|33,婄泡
beu3B|22,餢犃䏽䬏䴺勏
beu2A|35,㨐
dou3B|22,㐁㘏𨧀靯镀鍍蹈軇辺道衜衟艔芏荰翿纛秺稲稻盗盜瓙燾焘䆃䊭䌦䟻䲧噵导導帱幬度悼杜檤毒渡
dou3A|33,㓃𩂰道螙蠧蠹衜菿箌䑒倒到妒妬捯斁椡殬
dou2A|35,𡷊陦隝隯道賭赌覩艔祷禂禱睹琽㠀㨶㿒䀾䮻倒到堵壔岛島嶋嶌嶹帾度捣搗擣槝渡
dou1A|55,魛鱽鳭阇闍都醏釖裯舠䩲刀刂叨嘟忉朷氘
cou1B|21,㜖𥕢鏪螬褿蓸艚漕㯥䄚䏆䐬䢐䣯且傮嘈嶆徂晠曹曺槽殂
cou2B|13,𢵄造
cou1A|55,麁麄麤觕粗䎭撡操
cou2A|35,騲艸草娶愺慅懆
cou3A|33,髞错鄵酢醋錯躁造趮襙譟糙矂瘄煰燥澡䆆䥄厝喿噪慥措撡操氉
zou3B|22,𡠻𨘥阼造葄艁胙簉祚皁皂䒃䔘做唕唣慥梍
zou2A|35,駔驵靻鎺造蚤薻藻组缲組繰祖璪珇澡䔃䖕䖣䗢䲃早枣栆棗
zou1A|55,醩蹧遭蒩糟租㡟㯾㷮䜊傮
zou3A|33,竈皁皂灶
gou1A|55,㗝𧀎𦤑𦤎鷱鼛鷎餻高髙韟膏臯羔羙籇糕篙睾皋皐滜㟸㤒㰏䆁䓘䔌䚌䣗咎槔槹橰櫜
gou2A|35,㙱㚏㚖鎬镐菒藁藳缟縞稁稾稿㵆㾸夰暠杲槀槁檺
gou3A|33,锆郜鋯诰誥膏筶䯻吿告
sou3A|33,㕖遡诉訴螦膆臊素縤矂瘙溯溸漱潄㨞㲧㴑㿋䛾傃嗉埽塐塑嫊愫愬扫掃数數榡氉泝
sou2A|35,㛐㛮籔䈹䉤䕅埽嫂扫掃数數
sou1A|55,鬚鯂鰠鱢鳋须騒騷骚酥蘇蘓臊苏缫缲繅繰稣穌甦溞㢝㥰㮻䰅䰑囌慅掻搔櫯
tou2A|35,㐋𩵚钍釷討讨萄肚祷禱䚯䵚吐土圡套徒桃汢
tou3A|33,㚐鵵菟莵兎兔吐堍套
tou1B|21,𢲛鷵鼗𣑯鵌鷋饀馟駣駼騊陶鞀鞉酴醄鋾迯逃途跳跿裪菟萄蒤荼绹翿綯祹稌瘏燾潳濤焘㭸㻌䄻䅷䖘䛌䛬䣄䣝䤅䩣䬞䳜凃匋咷啕啚図图圖圗塗屠峹嵞帱幬庩廜徒悇捈掏搯桃梌梼檮洮涂涛淘
tou1A|55,𣈥弢飸饕鞱韜韬蹈轁詜謟蜪绦絛縚縧瑫滔㞵㢭㣠㫞㫦㴞㹗㻬㻯䀞䈱䑬䞮䤾䬢䬭仐叨唋夲嫍嶀幍弢忉慆挑掏搯槄
tou2B|13,肚
mou2B|13,㑄㒇𧿹𤪕鹉𠕇鵡鉧錻躌踇袰膴舞胟砪碔珷甒潕㟂㵲㶃䍢䒉䟼䥈䳇侮倵儛冇呒嘸妩姆姥娒娬嫵峔庑廡怃憮拇武母
mou3B|22,㒻𡝭龯鹜𦻒鶩騖骛雺雾霚霧覒蝐萺蓩芼莫耄縸眊瑁熃㝟㡌㡔㧇㪞㫯㴘㺺㿞䋃䨁䳱冃冐冒务務募墓奦婺媢嵍帽慔慕戊敄旄暮楘毷
mou1B|21,𠇔𤆬鹀魹鵐鷡髦酕軞诬谟誈誣謨謩譕蟱蕪膜芜芼莁糢瞴璑無牦犛㣳㧌㮘㲠㷻㹈䉑䥻䭷䱯亡亾兦堥墲妩娬嫫嫵巫庑廡摸摹旄无枆模橅橆毋毛毪氁氂
mou1A|55,髦蟆蟇毛
mou2A|35,㡌帽模母
nou1B|21,㐐㚢𨥬駑驽笯砮獶獿㞪䛝夒奴孥帑憹
nou2B|13,㑎㛴脳腦胬脑砮碯瑙㺁䜀䜧伮努匘垴堖嫐弩恼悩惱憹
nou3B|22,怒
