Syllable/Combination,汉字
loh4B|1,賂落烙駱酪洛絡樂鹿祿六陸綠錄漉碌戮麓氯轆盝熝䃙
zoh4A|5,拙作桌卓琢啄捉竹築祝粥足燭囑茁斫矚竺蹙唶瘃
coh4A|5,撮猝綽戳畜促觸擉齪簇矗輟怵啜蹴
soh4A|5,塑宿索朔速肅縮叔粟束爍碩夙菽謖溯蓿鑠嗍倏
ssoh4B|1,射續鑿昨勺啄濁鐲族逐熟淑俗贖蜀屬辱妯孰躅
goh4A|5,覺各閣擱胳郭廓角國穀谷幗桷鉻䀰
koh4A|5,窟廓殼哭酷
ggoh4B|1,擱
ngoh4B|1,鄂鶴瘧嶽岳愕齶鱷萼
hoh4A|5,忽霍藿塾淴
hhoh4B|1,鑊學或惑斛
yoh4A|5,郁
jioh4A|5,覺厥決訣橘鑊菊掬鞠抉蹶孓蕨攫玨
qioh4A|5,缺屈卻確麴曲蛐炔闕
jjioh4B|1,拙倔屐軸局崛撅䞷
njioh4B|1,月肉褥玉縟
xioh4A|5,血恤畜蓄旭噱
hhioh4B|1,悅閱月越曰粤穴嶽岳域疫役育獄欲慾浴煜毓聿鬻鉞
eh4A|5,遏㷈盦
beh4A|5,鉢撥不
peh4A|5,潑
bbeh4B|1,別鈸勃脖渤鵓孛
meh4B|1,抹末沫沒物墨默茉歿
feh4A|5,彿
veh4B|1,佛物勿弗拂氟
deh4A|5,綴掇得德敠
teh4A|5,脫忒禿
ddeh4B|1,疊奪突特凸
neh4B|1,納訥
leh4B|1,捋肋勒
zeh4A|5,只摺褶執汁哲折浙拙質卒則側織職摘責仄窒蛭嘖唶
ceh4A|5,徹撤轍撮猝出飭側測拆斥掣惻澈叱黜敕
seh4A|5,攝澀濕設刷說瑟蝨失室率蟀塞色嗇識式飾適釋穡拭
sseh4B|1,涉蟄十什拾入蜇折舌姪秩實日朮術述賊直值食蝕殖澤擇擲哉躑
geh4A|5,合蛤割葛胳鶴革佮嗝疙
keh4A|5,咳磕渴刻克拷瞌搕
ggeh4B|1,個搿
ngeh4B|1,杌核扼軛厄兀
heh4A|5,喝郝黑赫
hheh4B|1,合核闔劾閡
weh4A|5,殟
gueh4A|5,骨汩
kueh4A|5,闊窟擴
hueh4A|5,寣
hhueh4B|1,活核獲囫
yeh4A|5,縊靨揖噎乙一抑益咽壹溢邑謁屹悒搕擪
bieh4A|5,鼈筆畢必逼碧璧闢壁潷癟嗶
pieh4A|5,撇匹僻闢劈霹瞥癖
bbieh4B|1,枇別憋弼蹩愎
mieh4B|1,滅篾密蜜覓蔑汨搣冪
dieh4B|1,跌摘的滴嫡鏑擿扚
tieh4A|5,帖貼鐵踢剔惕
ddieh4B|1,疊碟牒蝶諜笛敵狄糴迭翟荻迪滌
lieh4B|1,荔立笠粒列烈裂劣栗律率力歷曆櫟瀝捩冽礫靂溧蒞僳櫪
jieh4A|5,髻接劫挾急級給揭節結潔䥛吉即鯽戟積跡脊績擊激拮棘莢桔頰稷漬孑汲瘠癤唧鶺
qieh4A|5,契怯緝輯泣切七漆訖乞戚吃柒迄竊葺鍥齕
jjieh4B|1,及傑極劇竭笈桀
njieh4B|1,聶鑷躡業熱孽日匿逆溺齧涅鎳蘖
xieh4A|5,脅吸薛泄歇蠍屑楔雪悉膝戌息熄媳惜昔錫析淅晰蟋隙褻蜥歙
xxieh4B|1,藉捷集習襲截絕疾籍席夕寂睫蒺矽
hhieh4B|1,易葉頁逸翼亦譯液腋佚奕熠驛軼曳弈翌掖蜴弋繹
yueh4A|5,郁
jyueh4A|5,覺厥決訣橘钁菊掬鞠抉蹶孑蕨攫
qyueh4A|5,缺屈卻確麴曲蛐炔闕
jjyueh4B|1,掘倔屐軸局崛撅䞷
njyueh4B|1,月
xyueh4A|5,血恤畜蓄旭噱
hhyueh4B|1,悅閱月越曰粤穴嶽岳域疫役育獄欲慾煜毓聿鬻鉞
m1A|53,拇姆
hhm3B|13,畝嘸
lyu3B|13,驢呂旅慮濾縷屢履鋁閭侶櫚膂
jyu1A|53,車居拘駒龜疽琚裾
jyu3A|35,舉據鋸矩句鬼貴苣踞倨櫸
qyu1A|53,蛆趨區驅虧軀嶇祛
qyu3A|35,去取娶趣齲覷
jjyu3B|13,渠巨拒距俱瞿具懼跪櫃炬颶馗衢遽蕖
njyu3B|13,女語御禦虞娛寓馭隅圄
xyu1A|53,絮墟虛嘘須鬚需吁胥
xyu3A|35,許壻栩酗煦詡
xxyu3B|13,序敍緒聚
hhyu1A|53,於淤迂瘀
hhyu3A|35,餧嫗
hhyu3B|13,魚漁於余餘與譽預豫愚虞娛遇寓于盂榆逾愉雨宇禹羽愈芋喻裕圍緯俞輿予嶼諛瑜竽諭臾萸腴庾籲
zi1A|53,豬諸誅蛛株朱硃珠知蜘智支枝肢梔資姿咨脂茲滋輜芝孳孜吱茱淄齜侏髭錙
zi3A|35,著煑拄駐註主注蛀鑄制製紫智紙姊致旨指至子梓置滓之止趾址志誌痣嘴籽仔仔咫摯幟炷恣芷渚疰緻
ci1A|53,差雌疵此眵癡嗤吹笞鴟魑粢
ci3A|35,褚處鼠刺侈翅次恥廁齒眦
si1A|53,梳書舒樞輸篩斯廝撕施私師獅尸屍司絲思詩螄抒嘶鷥紓
si3A|35,暑黍庶恕戍世勢賜豕死四肆矢屎使史駛始試水泗駟
ssi3B|13,除儲苎箸鋤署薯如汝廚柱住雛殊豎樹儒乳滯誓逝池馳匙是氏豉瓷餈自遲稚示視嗜慈磁辭詞祠似祀巳字伺寺嗣飼持痔治士仕柿事時鰣市恃侍弛櫥躇茹孺蠕曙墅仔濡諡峙貯蒔伫
jiea1A|53,械監奸
jiea3A|35,鑑
njiea3B|13,念廿罱
hhiea3B|13,也械懈閒限嫻
hhiaong3B|13,旺
hher3B|13,兒爾二貳而耳餌邇洱珥
hhng3B|13,五伍午魚兒
