Syllable/Combination,汉字
nga1A|53,砑捱
nga3B|13,牙芽衙砑捱外蚜
ha3A|35,蟹
hha3B|13,也鞋
ya1A|53,霞鴉丫亞椰
ya3A|35,雅啞訝迓
dia1A|53,爹
dia3A|35,嗲
ssia3B|13,邪斜謝榭
jia1A|53,家加嘉傢皆階佳枷笳袈喈
jia3A|35,假賈架駕嫁稼價姐借介界屆戒解枷誡
qia3A|35,笡
jjia3B|13,茄
xia3A|35,廈瑕遐下夏暇寫瀉卸㕐
hhia3B|13,牙芽衙耶爺野夜涯崖蚜
wa1A|53,蛙窪歪娃媧
gua1A|53,瓜乖
gua3A|35,寡剮怪拐掛卦
kua1A|53,誇
kua3A|35,垮跨蒯快筷
hua1A|53,花歪嘩
hua3A|35,化
hhua3B|13,華華鏵樺懷槐淮壞畫話驊
o1A|53,阿鴉丫椏划蛙搲挜
o3A|35,啞
bo1A|53,巴芭疤笆
bo3A|35,把霸欛壩垻靶
po3A|35,怕
bbo3B|13,爬琶杷耙扒䶕
mo1A|53,嬤
mo3B|13,魔磨摩麻馬碼罵模摹暮慕墓募幕蘑螞瑪
no1A|53,拿
no3B|13,挪哪拿
zo1A|53,查渣遮抓摣
zo3A|35,詐榨炸蔗赭吒鷓柘
co1A|53,搓叉杈差車錯釵詫
co3A|35,岔汊
so1A|53,莎沙紗賒娑砂痧鯊裟
so3A|35,捨赦舍曬
sso3B|13,茶搽查乍蛇佘社射麝昨
go1A|53,瓜
go3A|35,寡剮掛卦
ko1A|53,誇
ko3A|35,垮跨
ngo3B|13,廈下夏瓦華華鏵划樺畫話嘩驊
ho1A|53,蝦花華呵
ho3A|35,化
ao1A|53,懊坳凹
ao3A|35,襖奧媼澳拗墺
bao1A|53,褒包胞苞
bao3A|35,褒保堡寶報飽豹爆葆褓鴇趵
pao1A|53,拋脬
pao3A|35,泡炮皰
bbao3B|13,袍抱暴菢跑刨鮑爆雹曝瀑咆爮
mao1A|53,貓
mao3B|13,毛冒帽茅貓錨卯貌茂貿矛鉚犛髦瑁懋耄蝥泖
dao1A|53,刀叨
dao3A|35,掏禱島倒到
tao1A|53,叨滔濤韜縚饕
tao3A|35,討套
ddao3B|13,掏桃逃淘陶萄濤道稻盜導蹈悼燾咷
nao3B|13,腦惱鬧淖瑙
lao1A|53,撈嘮
lao3B|13,勞牢老澇癆佬姥醪栳憦
zao1A|53,遭糟抓朝昭招沼搔釗
zao3A|35,早棗蚤澡躁竃罩爪找笊照詔藻
cao1A|53,操抄鈔超
cao3A|35,草騲躁糙鈔炒吵耖
sao1A|53,騷臊梢捎稍燒艄哨筲艘
sao3A|35,掃嫂潲少燥
ssao3B|13,曹槽皂造巢朝潮趙兆召韶紹邵饒擾肇嘈嘲晁漕
gao1A|53,高膏篙羔糕告交膠茭皋鮫
gao3A|35,稿告教絞鉸攪酵窖覺鎬誥槁杲縞
kao1A|53,敲
kao3A|35,考烤靠犒拷銬
ggao3B|13,攪搞骹
ngao3B|13,熬傲咬遨嗷翱鏖敖鼇螯
hao1A|53,薅嵩
hao3A|35,好耗孝
hhao3B|13,豪壕毫號浩嚎昊皓㩝顥濠
yao1A|53,妖邀腰要么吆夭
yao3A|35,要闄
biao1A|53,臕標錶彪鑣飆鏢
